Date,Price,Open,High,Low,Vol.,Change %
5/11/2023,"14,720.00","14,710.00","14,745.00","14,696.00",,0.00%
5/12/2023,"14,745.00","14,765.00","14,772.00","14,735.00",,0.17%
5/15/2023,"14,795.00","14,790.00","14,824.50","14,790.00",,0.34%
5/16/2023,"14,815.00","14,785.00","14,834.50","14,780.00",,0.14%
5/17/2023,"14,860.00","14,867.50","14,890.00","14,855.00",,0.30%
5/18/2023,"14,923.00","14,876.00","14,924.00","14,845.00",,0.42%
5/19/2023,"14,920.00","14,907.50","14,967.00","14,903.50",,-0.02%
5/22/2023,"14,885.00","14,905.00","14,916.50","14,885.00",,-0.23%
5/23/2023,"14,875.00","14,890.00","14,907.50","14,852.50",,-0.07%
5/24/2023,"14,895.00","14,897.50","14,920.00","14,887.50",,0.13%
5/25/2023,"14,945.00","14,960.00","14,964.00","14,933.00",,0.34%
5/26/2023,"14,950.00","14,962.50","14,972.00","14,940.00",,0.03%
5/29/2023,"14,965.00","14,965.00","14,981.00","14,956.00",,0.10%
5/30/2023,"14,980.00","14,945.00","14,994.50","14,940.00",,0.10%
5/31/2023,"14,985.00","15,010.00","15,018.50","14,987.50",,0.03%
6/1/2023,"14,914.00","14,991.30","14,994.00","14,899.50",,-0.47%
6/2/2023,"14,902.00","14,914.00","14,920.00","14,785.00",,-0.08%
6/5/2023,"14,885.00","14,895.00","14,912.00","14,870.00",,-0.11%
6/6/2023,"14,855.00","14,860.00","14,870.00","14,819.50",,-0.20%
6/7/2023,"14,875.00","14,857.50","14,889.00","14,852.50",,0.13%
6/8/2023,"14,890.00","14,902.50","14,915.00","14,884.00",,0.10%
6/9/2023,"14,835.00","14,845.00","14,914.50","14,835.00",,-0.37%
6/12/2023,"14,860.00","14,897.50","14,904.50","14,855.00",,0.17%
6/13/2023,"14,855.00","14,875.00","14,880.00","14,855.00",,-0.03%
6/14/2023,"14,895.00","14,877.50","14,920.00","14,868.00",,0.27%
6/15/2023,"14,940.00","14,915.00","14,962.50","14,915.00",,0.30%
6/16/2023,"14,930.00","14,927.50","14,952.50","14,920.00",,-0.07%
6/19/2023,"14,990.00","14,977.50","14,999.00","14,965.00",,0.40%
6/20/2023,"14,995.00","15,022.50","15,052.50","15,000.00",,0.03%
6/21/2023,"14,940.00","15,037.50","15,042.50","14,910.00",,-0.37%
6/22/2023,"14,935.00","14,932.50","14,975.00","14,890.00",,-0.03%
6/23/2023,"14,990.00","14,965.00","15,007.00","14,965.00",,0.37%
6/26/2023,"15,010.00","15,005.00","15,042.50","15,005.00",,0.13%
6/27/2023,"14,990.00","14,995.00","15,011.50","14,987.50",,-0.13%
6/28/2023,"14,987.90","14,988.00","15,022.60","14,971.00",,-0.01%
6/29/2023,"15,071.00","14,993.00","15,080.30","14,985.70",,0.55%
6/30/2023,"15,040.40","15,070.50","15,085.00","15,020.80",,-0.20%
7/3/2023,"15,020.00","15,005.00","15,041.00","15,005.00",,-0.14%
7/4/2023,"14,990.00","15,040.00","15,044.50","14,986.00",,-0.20%
7/5/2023,"15,010.00","15,010.00","15,027.50","14,999.50",,0.13%
7/6/2023,"15,040.00","15,062.50","15,074.50","15,043.50",,0.20%
7/7/2023,"15,130.00","15,125.00","15,147.50","15,110.00",,0.60%
7/10/2023,"15,190.00","15,150.00","15,222.00","15,140.00",,0.40%
7/11/2023,"15,135.00","15,195.00","15,195.00","15,132.50",,-0.36%
7/12/2023,"15,075.00","15,130.00","15,132.50","15,055.00",,-0.40%
7/13/2023,"14,965.00","14,955.00","14,997.00","14,945.00",,-0.73%
7/14/2023,"14,955.00","14,950.00","14,965.50","14,913.00",,-0.07%
7/17/2023,"15,000.00","14,995.00","15,013.50","14,991.50",,0.30%
7/18/2023,"14,990.00","14,990.00","15,000.00","14,985.00",,-0.07%
7/19/2023,"14,999.00","14,990.50","15,029.30","14,981.00",,0.06%
7/20/2023,"14,985.00","14,987.50","15,007.50","14,977.50",,-0.09%
7/21/2023,"15,020.00","15,012.50","15,033.50","15,010.00",,0.23%
7/24/2023,"15,020.00","15,030.00","15,035.00","15,018.00",,0.00%
7/25/2023,"14,990.00","15,015.00","15,022.50","14,992.50",,-0.20%
7/26/2023,"15,015.00","15,030.00","15,042.50","15,015.00",,0.17%
7/27/2023,"14,995.00","15,015.00","15,022.50","14,985.00",,-0.13%
7/28/2023,"15,090.00","15,060.00","15,105.00","15,056.50",,0.63%
7/31/2023,"15,075.00","15,090.00","15,105.00","15,080.00",,-0.10%
8/1/2023,"15,110.00","15,112.50","15,122.50","15,018.50",,0.23%
8/2/2023,"15,170.00","15,140.00","15,197.00","15,137.50",,0.40%
8/3/2023,"15,180.00","15,185.00","15,210.00","15,182.50",,0.07%
8/4/2023,"15,165.00","15,147.50","15,182.50","15,145.00",,-0.10%
8/7/2023,"15,180.00","15,170.00","15,190.50","15,161.00",,0.10%
8/8/2023,"15,215.00","15,222.50","15,237.50","15,217.00",,0.23%
8/9/2023,"15,190.00","15,210.00","15,222.50","15,189.50",,-0.16%
8/10/2023,"15,180.00","15,210.00","15,217.50","15,185.00",,-0.07%
8/11/2023,"15,210.00","15,215.00","15,237.00","15,205.00",,0.20%
8/14/2023,"15,310.00","15,297.50","15,338.50","15,287.50",,0.66%
8/15/2023,"15,335.00","15,342.50","15,359.50","15,332.50",,0.16%
8/16/2023,"15,280.00","15,337.50","15,338.50","15,282.50",,-0.36%
8/17/2023,"15,361.80","15,368.50","15,391.00","15,329.00",,0.54%
8/18/2023,"15,280.00","15,310.00","15,319.50","15,285.00",,-0.53%
8/21/2023,"15,320.00","15,330.00","15,339.00","15,318.50",,0.26%
8/22/2023,"15,310.00","15,320.00","15,332.00","15,310.00",,-0.07%
8/23/2023,"15,290.00","15,317.50","15,330.00","15,295.00",,-0.13%
8/24/2023,"15,240.00","15,252.50","15,274.50","15,239.50",,-0.33%
8/25/2023,"15,290.00","15,275.00","15,307.00","15,274.00",,0.33%
8/28/2023,"15,285.00","15,295.00","15,301.50","15,285.00",,-0.03%
8/29/2023,"15,255.00","15,277.50","15,282.50","15,250.00",,-0.20%
8/30/2023,"15,235.00","15,220.00","15,295.00","15,215.00",,-0.13%
8/31/2023,"15,225.00","15,222.50","15,244.00","15,222.50",,-0.07%
9/1/2023,"15,235.00","15,227.50","15,264.00","15,226.50",,0.07%
9/4/2023,"15,235.00","15,242.50","15,254.00","15,234.00",,0.00%
9/5/2023,"15,260.00","15,250.00","15,274.00","15,242.50",,0.16%
9/6/2023,"15,290.00","15,310.00","15,321.50","15,215.00",,0.20%
9/7/2023,"15,320.00","15,330.00","15,341.50","15,319.00",,0.20%
9/8/2023,"15,320.00","15,330.00","15,347.50","15,325.00",,0.00%
9/11/2023,"15,320.00","15,350.00","15,361.50","15,325.00",,0.00%
9/12/2023,"15,335.00","15,340.00","15,354.50","15,330.00",,0.10%
9/13/2023,"15,365.00","15,360.00","15,377.00","15,350.00",,0.20%
9/14/2023,"15,350.00","15,365.00","15,371.50","15,340.00",,-0.10%
9/15/2023,"15,350.00","15,390.00","15,392.50","15,351.00",,0.00%
9/18/2023,"15,365.00","15,367.50","15,381.50","15,361.50",,0.10%
9/19/2023,"15,375.00","15,382.50","15,393.50","15,369.50",,0.07%
9/20/2023,"15,375.00","15,390.00","15,403.00","15,380.00",,0.00%
9/21/2023,"15,370.00","15,392.50","15,411.50","15,375.00",,-0.03%
9/22/2023,"15,370.00","15,385.00","15,394.00","15,369.00",,0.00%
9/25/2023,"15,395.00","15,380.00","15,409.00","15,380.00",,0.16%
9/26/2023,"15,485.00","15,430.00","15,505.00","15,427.50",,0.58%
9/27/2023,"15,515.00","15,487.00","15,542.50","15,420.00",,0.19%
